question_id,score
1A,1
1B,1
1C,1
1D,0
1E,0
2A,1
2B,1
2C,1
2D,0
2E,0
3A,1
3B,0
3C,0
3D,0
3E,0
4A,1
4B,1
4C,0
4D,0
4E,0
5A,1
5B,1
5C,0
5D,0
5E,0
6A,1
6B,1
6C,0
6D,0
6E,0
7A,1
7B,1
7C,0
7D,0
7E,0
8A,1
8B,1
8C,0
8D,0
8E,0
9A,1
9B,1
9C,0
9D,0
9E,0
10A,1
10B,1
10C,0
10D,0
10E,0
11A,1
11B,0
11C,0
11D,0
11E,0
12A,1
12B,1
12C,1
12D,0
12E,0
13A,1
13B,0
13C,0
13D,0
13E,0
14A,1
14B,0
14C,0
14D,0
14E,0
15A,1
15B,1
15C,1
15D,0
15E,0
16A,0
16B,1
16C,0
16D,0
16E,0
17A,1
17B,1
17C,1
17D,0
17E,0
18A,1
18B,0
18C,0
18D,0
18E,0
19A,1
19B,1
19C,0
19D,0
19E,0
20A,1
20B,0
20C,1
20D,0
20E,0
21A,1
21B,0
21C,0
21D,0
21E,0
22A,1
22B,1
22C,1
22D,0
22E,0
23A,1
23B,1
23C,0
23D,0
23E,0
24A,1
24B,1
24C,0
24D,0
24E,0
25A,1
25B,0
25C,0
25D,0
25E,0
26A,1
26B,0
26C,0
26D,0
26E,0
27A,1
27B,1
27C,1
27D,0
27E,0
28A,1
28B,0
28C,0
28D,0
28E,0
29A,1
29B,0
29C,1
29D,0
29E,0
30A,1
30B,0
30C,0
30D,0
30E,0
31A,0
31B,0
31C,0
31D,0
31E,0
32A,0
32B,0
32C,0
32D,0
32E,0
33A,0
33B,0
33C,0
33D,0
33E,0
34A,0
34B,0
34C,0
34D,0
34E,0
35A,0
35B,0
35C,0
35D,0
35E,0
36A,0
36B,0
36C,0
36D,0
36E,0
